Metric		Current
TOTAL_NUMBER_OF_FILES		5,380
NUMBER_OF_FILES_MAIN		42
LINES_OF_CODE_MAIN		3,583
NUMBER_OF_FILES_MAIN_EXT_JSX		18
LINES_OF_CODE_MAIN_EXT_JSX		2,533
NUMBER_OF_FILES_MAIN_EXT_JS		16
LINES_OF_CODE_MAIN_EXT_JS		763
NUMBER_OF_FILES_MAIN_EXT_CSS		7
LINES_OF_CODE_MAIN_EXT_CSS		274
NUMBER_OF_FILES_MAIN_EXT_HTML		1
LINES_OF_CODE_MAIN_EXT_HTML		13
NUMBER_OF_FILES_TEST		1
LINES_OF_CODE_TEST		12
NUMBER_OF_FILES_TEST_EXT_JS		1
LINES_OF_CODE_TEST_EXT_JS		12
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		0.33
NUMBER_OF_FILES_GENERATED		3
LINES_OF_CODE_GENERATED		5,193
NUMBER_OF_FILES_GENERATED_EXT_JSON		3
LINES_OF_CODE_GENERATED_EXT_JSON		5,193
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		7
LINES_OF_CODE_OTHER		5,742
NUMBER_OF_FILES_OTHER_EXT_JSON		7
LINES_OF_CODE_OTHER_EXT_JSON		5,742
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_PROJETAPPLICATIONWEB		42
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PROJETAPPLICATIONWEB		3,583
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_PROJETAPPLICATIONWEB_EXT_JSX		18
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PROJETAPPLICATIONWEB_EXT_JSX		2,533
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_PROJETAPPLICATIONWEB_EXT_JS		16
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PROJETAPPLICATIONWEB_EXT_JS		763
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_PROJETAPPLICATIONWEB_EXT_CSS		7
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PROJETAPPLICATIONWEB_EXT_CSS		274
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_PROJETAPPLICATIONWEB_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_PROJETAPPLICATIONWEB_EXT_HTML		13
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		0
LINES_OF_CODE_CONCERN_GENERAL_TODOS		0
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		42
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		3,583
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		18
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		2,533
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		16
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		763
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		7
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		274
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		13
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		27
LOW_RISK_FILE_SIZE_COUNT		7
MEDIUM_RISK_FILE_SIZE_COUNT		8
HIGH_RISK_FILE_SIZE_COUNT		0
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		713
LOW_RISK_FILE_SIZE_LOC		865
MEDIUM_RISK_FILE_SIZE_LOC		2,005
HIGH_RISK_FILE_SIZE_LOC		0
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		8
LINES_OF_CODE_IN_UNITS		81
LINES_OF_CODE_OUTSIDE_UNITS		3,502
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		31
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		38.27
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		5
UNIT_SIZE_LOW_RISK_LOC		29
UNIT_SIZE_LOW_RISK_PERCENTAGE		35.8
UNIT_SIZE_LOW_RISK_COUNT		2
UNIT_SIZE_MEDIUM_RISK_LOC		21
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		25.93
UNIT_SIZE_MEDIUM_RISK_COUNT		1
UNIT_SIZE_HIGH_RISK_LOC		0
UNIT_SIZE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_HIGH_RISK_COUNT		0
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_NEGLIGIBLE_RISK_LOC		31
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_NEGLIGIBLE_RISK_PERCENTAGE		38.27
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_NEGLIGIBLE_RISK_COUNT		5
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_LOW_RISK_LOC		29
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_LOW_RISK_PERCENTAGE		35.8
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_LOW_RISK_COUNT		2
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_MEDIUM_RISK_LOC		21
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_MEDIUM_RISK_PERCENTAGE		25.93
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_PROJETAPPLICATIONWEB_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		31
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		38.27
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		5
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		29
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		35.8
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		2
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		21
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		25.93
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		1
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		81
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		8
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_NEGLIGIBLE_RISK_LOC		81
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_NEGLIGIBLE_RISK_COUNT		8
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PROJETAPPLICATIONWEB_HIGH_RISK_PERCENTAGE		0
